Date,RBC Open,RBC High,RBC Low,RBC Close,RBC Adj Close,RBC Volume,BMO Open,BMO High,BMO Low,BMO Close,BMO Adj Close,BMO Volume,,Drop down,,,,,,,,,,,,,Date,RBC Volume,RBC Volume
4/19/2022,$113.83,$114.58,$113.23,$114.55,$111.00,451800,$108.98,$110.08,$108.60,$109.95,$106.76,2182000,,,,,,,,,,,,,,,4/19/2022,451800,451800
4/20/2022,$116.06,$118.48,$115.80,$117.41,$113.78,641200,$111.22,$111.97,$110.87,$111.22,$107.99,981900,,,,,,,,,,,,,,,4/20/2022,641200,641200
4/21/2022,$118.45,$118.97,$115.68,$116.00,$112.41,626100,$111.78,$112.67,$110.07,$110.18,$106.98,910900,,,,,,,,,,,,,,,4/21/2022,626100,626100
4/22/2022,$115.17,$115.27,$111.84,$112.03,$108.56,796800,$108.37,$108.61,$104.33,$104.41,$102.27,2273000,,,,,,,,,,,,,,,4/22/2022,796800,796800
4/25/2022,$111.25,$111.50,$108.84,$111.15,$107.71,995600,$103.48,$103.81,$101.71,$103.42,$101.30,1590300,,,,,,,,,,,,,,,4/25/2022,995600,995600
4/26/2022,$110.12,$111.03,$108.33,$108.37,$105.02,1806600,$102.57,$103.33,$101.46,$101.57,$99.48,838200,,,,,,,,,,,,,,,4/26/2022,1806600,1806600
4/27/2022,$108.00,$108.82,$107.12,$107.64,$104.31,792300,$101.10,$101.83,$100.44,$101.14,$99.06,1054700,,,,,,,,,,,,,,,4/27/2022,792300,792300
4/28/2022,$108.02,$109.74,$107.38,$109.19,$105.81,1181500,$101.47,$103.21,$101.21,$102.73,$100.62,748700,,,,,,,,,,,,,,,4/28/2022,1181500,1181500
4/29/2022,$108.43,$109.19,$105.80,$106.04,$103.74,1857000,$102.89,$103.43,$100.88,$101.03,$98.96,961400,,,,,,,,,,,,,,,4/29/2022,1857000,1857000
5/2/2022,$105.85,$106.33,$103.54,$105.18,$102.90,810000,$100.86,$101.10,$99.33,$100.74,$98.67,843000,,,,,,,,,,,,,,,5/2/2022,810000,810000
5/3/2022,$105.72,$108.02,$105.47,$107.40,$105.08,787000,$101.12,$102.91,$101.05,$102.05,$99.95,729900,,,,,,,,,,,,,,,5/3/2022,787000,787000
5/4/2022,$107.23,$108.68,$106.09,$108.55,$106.20,817300,$102.39,$104.28,$101.73,$104.13,$101.99,1050500,,,,,,,,,,,,,,,5/4/2022,817300,817300
5/5/2022,$108.19,$108.23,$104.54,$105.43,$103.15,807700,$103.54,$103.72,$100.85,$101.74,$99.65,804000,,,,,,,,,,,,,,,5/5/2022,807700,807700
5/6/2022,$105.10,$105.19,$103.65,$104.62,$102.36,727900,$101.64,$101.64,$99.75,$100.63,$98.56,805500,,,,,,,,,,,,,,,5/6/2022,727900,727900
5/9/2022,$103.31,$103.57,$101.56,$101.88,$99.67,767000,$99.13,$99.73,$97.99,$98.09,$96.08,1080700,,,,,,,,,,,,,,,5/9/2022,767000,767000
5/10/2022,$102.86,$103.57,$100.42,$101.14,$98.95,870100,$98.96,$99.73,$96.75,$97.04,$95.05,1474000,,,,,,,,,,,,,,,5/10/2022,870100,870100
5/11/2022,$101.82,$103.52,$100.67,$101.13,$98.94,774200,$97.17,$99.10,$96.54,$97.25,$95.25,1417300,,,,,,,,,,,,,,,5/11/2022,774200,774200
5/12/2022,$100.43,$100.81,$98.87,$100.32,$98.15,716100,$96.27,$96.89,$95.02,$96.14,$94.17,990300,,,,,,,,,,,,,,,5/12/2022,716100,716100
5/13/2022,$101.23,$102.55,$101.07,$102.16,$99.95,594200,$96.89,$98.36,$96.78,$98.05,$96.04,784300,,,,,,,,,,,,,,,5/13/2022,594200,594200
5/16/2022,$102.09,$103.71,$101.50,$103.39,$101.15,969400,$98.07,$99.19,$97.20,$98.77,$96.74,974800,,,,,,,,,,,,,,,5/16/2022,969400,969400
5/17/2022,$104.50,$105.78,$104.07,$105.43,$103.15,699700,$99.71,$100.51,$98.65,$99.28,$97.24,1530200,,,,,,,,,,,,,,,5/17/2022,699700,699700
5/18/2022,$104.79,$104.92,$102.71,$102.84,$100.61,588000,$98.67,$98.96,$97.28,$97.78,$95.77,900300,,,,,,,,,,,,,,,5/18/2022,588000,588000
5/19/2022,$102.25,$103.83,$101.75,$102.19,$99.98,730300,$97.52,$100.00,$97.24,$99.20,$97.16,1536800,,,,,,,,,,,,,,,5/19/2022,730300,730300
5/20/2022,$102.69,$103.68,$100.62,$102.05,$99.84,585700,$100.01,$100.19,$97.72,$99.17,$97.13,920700,,,,,,,,,,,,,,,5/20/2022,585700,585700
5/23/2022,$103.80,$105.80,$103.59,$104.66,$102.39,527000,$100.76,$101.84,$100.35,$100.78,$98.71,566900,,,,,,,,,,,,,,,5/23/2022,527000,527000
5/24/2022,$104.48,$104.55,$102.30,$104.17,$101.92,916300,$100.98,$101.22,$99.17,$100.49,$98.43,965800,,,,,,,,,,,,,,,5/24/2022,916300,916300
5/25/2022,$103.36,$105.15,$102.40,$103.66,$101.42,930900,$100.29,$100.98,$99.65,$100.35,$98.29,1484500,,,,,,,,,,,,,,,5/25/2022,930900,930900
5/26/2022,$104.27,$106.48,$103.94,$105.78,$103.49,892600,$100.78,$101.12,$99.70,$100.69,$98.62,1017900,,,,,,,,,,,,,,,5/26/2022,892600,892600
